id,happiness
8001,3.8241275075519745
8002,3.453785096526717
8003,3.5077300129394176
8004,4.066685337124935
8005,3.7179147871972793
8006,3.910339599981885
8007,3.8559931324761054
8008,4.09189097996285
8009,3.953391096435526
8010,3.4203698282918404
8011,3.6225305095317273
8012,3.830797028247258
8013,4.068201813802007
8014,3.824163915120579
8015,3.751648467614399
8016,4.008191194491817
8017,3.7439085284109264
8018,4.024760923301094
8019,3.958227495736232
8020,3.8417496865949383
8021,3.955568995568836
8022,3.8530590527434927
8023,3.963140582601433
8024,3.9005063979421113
8025,3.5095996115689605
8026,3.950238577953633
8027,3.978791376965686
8028,3.862870533975029
8029,4.0347878194323545
8030,3.9735403024621947
8031,3.795637159161883
8032,3.813100662380079
8033,4.020090689583929
8034,3.750282559395499
8035,3.847273876064878
8036,4.098250847565884
8037,3.936169428813953
8038,3.9433649827778776
8039,3.787026667284845
8040,4.01333792460712
8041,4.012266998227232
8042,3.8183773289792393
8043,3.71541248476687
8044,3.9249263921971163
8045,4.0373264234562605
8046,3.89452725177295
8047,4.027982320311523
8048,3.961184824964749
8049,3.8551454527489915
8050,4.026650332477716
8051,3.4908786146891346
8052,3.940943819582289
8053,3.3995703541664315
8054,3.795950667906475
8055,4.042025420624109
8056,3.382091919528003
8057,3.8145483648381826
8058,3.6872606642465984
8059,3.608792814253671
8060,3.988342488002569
8061,3.357644271252874
8062,3.7166650105785433
8063,3.8567314753558026
8064,3.9921592832511896
8065,3.9321924790933824
8066,4.050280987364227
8067,3.9167244218304433
8068,3.951833191520672
8069,3.7380905664044195
8070,3.9560727202413695
8071,3.876496710154359
8072,4.0170458769227215
8073,3.8032896112810297
8074,3.8298590814495874
8075,3.606043364514769
8076,3.859349104719066
8077,3.7193414214141676
8078,3.9092479675655794
8079,4.061186446072006
8080,3.7798497034331273
8081,3.935374371771087
8082,3.8322332209405485
8083,4.0100232308882084
8084,4.01226998977237
8085,4.073416267908256
8086,3.9047742781821815
8087,3.7560808489831468
8088,3.953488914280979
8089,3.646001504448999
8090,3.848778953279755
8091,3.9776655927717735
8092,3.8303714782244636
8093,4.005165388185872
8094,3.894531847181516
8095,4.095693370367437
8096,3.6393402047646886
8097,4.036164494223087
8098,3.832916667184285
8099,3.7482392816555707
8100,3.8761230712574086
8101,3.9518295650735684
8102,3.97845871269319
8103,3.6743552379397624
8104,4.079889935849421
8105,3.931659432580379
8106,3.9408959066008236
8107,4.003654045305562
8108,3.949084889207904
8109,3.8960000025542656
8110,3.763690578581585
8111,3.993649324225172
8112,3.8193418565785864
8113,3.769564445623932
8114,4.034479376286666
8115,3.9333716323434293
8116,3.896608985125319
8117,3.8125394872810885
8118,3.718531931128502
8119,3.8550983754847588
8120,4.062537752228406
8121,3.3790501399221164
8122,4.025317940066742
8123,3.853192746377492
8124,3.7612964908568296
8125,3.940234974207274
8126,4.071247520683821
8127,3.0771203748182767
8128,3.9011881961442234
8129,3.8506742403658407
8130,3.917278255971329
8131,3.8513679017490503
8132,3.952870537062225
8133,4.007113321915447
8134,3.8383315195108203
8135,3.921741169432627
8136,3.9739652360948488
8137,4.002701173139097
8138,3.772557842436219
8139,3.8080675180212338
8140,3.6243536953183026
8141,3.907226581856606
8142,3.833126440729143
8143,3.953197316102173
8144,3.830145567182021
8145,3.988380936721276
8146,3.0706324786256713
8147,3.918378981419939
8148,3.413358533853404
8149,3.6525650368048663
8150,3.8869616278830676
8151,3.3548808079059858
8152,3.9709869350963216
8153,3.7824714356788856
8154,3.8404251096751425
8155,3.796899073997005
8156,3.785677013436265
8157,3.7311811770209133
8158,3.7376350345530804
8159,3.9678689942496477
8160,3.965342001317403
8161,3.746065269335504
8162,3.9488265234179973
8163,3.6738084721998474
8164,3.7915869054005666
8165,3.94765746724808
8166,4.012707075989719
8167,3.746650810876181
8168,3.4254142523478093
8169,3.5479111612927
8170,3.9520117728226833
8171,3.8773128032302857
8172,3.927888115611183
8173,3.721853810225748
8174,3.885646700132346
8175,3.7988933703831376
8176,3.9968167069204013
8177,3.440806707144149
8178,4.008932856984096
8179,3.97188701938744
8180,3.7170679849780517
8181,3.8251224251563043
8182,3.8689922448238354
8183,3.850329704992724
8184,3.7573404635127945
8185,3.8320526106645945
8186,3.8878276141258428
8187,3.9698027991955236
8188,3.838768935909642
8189,4.002996229229066
8190,4.072248275755728
8191,3.8080868487592783
8192,3.8498871817314004
8193,3.8844360595628897
8194,3.829750318079734
8195,4.0618053872066495
8196,3.566249203404369
8197,3.9458420267835237
8198,3.917315616472771
8199,3.95936977077685
8200,4.203094282740315
8201,3.7370414342978426
8202,3.983921582168904
8203,3.8066190912434203
8204,3.883321230387045
8205,3.9842347251971963
8206,3.97942182256827
8207,3.8617514400056088
8208,3.856957045018021
8209,3.881452536837249
8210,3.765082697956982
8211,3.883744780137355
8212,4.008347684505063
8213,4.025115935395288
8214,3.9162572375055635
8215,3.781794140793328
8216,3.8036383932072617
8217,3.654735836698281
8218,3.772729601864924
8219,3.872088887208177
8220,4.018375742729907
8221,4.103258831550005
8222,3.8501505505423
8223,3.66037287035494
8224,3.787641847745581
8225,4.02771514604882
8226,3.9572944579998364
8227,4.046927628361176
8228,3.7417159299697715
8229,3.9769179176734
8230,3.434960374213497
8231,3.898815566676361
8232,3.8791126332849615
8233,3.885171982909475
8234,3.7046385120660554
8235,3.838304859723494
8236,3.435566134872766
8237,3.8022082319175894
8238,3.943713216757196
8239,3.8482553872443885
8240,3.392506245977769
8241,3.5178427692444987
8242,3.8128443595207275
8243,4.077631944950872
8244,3.9083284690577615
8245,3.6510762554509717
8246,3.9642695410128166
8247,3.9755131738109464
